                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6285,                 1.8692,                 2.1949,                0.77478,                0.63111,                0.71424,                0.39834,                 1.5646,                 1.5813,                 2.3322,              0.0013415,              0.0013415,              0.0013415
                     35,                 1.5917,                 1.8437,                 2.1272,                0.70478,                0.55087,                0.66285,                0.38219,                 1.5807,                 1.7366,                  2.315,              0.0013361,              0.0013361,              0.0013361
                     36,                 1.6055,                 1.9268,                 2.1759,                0.60251,                0.59252,                0.61071,                 0.3476,                 1.5199,                 2.0022,                 2.2805,              0.0013305,              0.0013305,              0.0013305
                     37,                 1.6283,                 1.8574,                 2.1635,                0.67833,                0.56659,                0.67622,                 0.3854,                 1.4846,                 1.6059,                 2.1592,              0.0013248,              0.0013248,              0.0013248
                     38,                 1.5907,                 1.7973,                 2.1242,                0.64532,                0.57117,                0.57902,                0.32977,                 1.6231,                 1.8175,                 2.3466,              0.0013189,              0.0013189,              0.0013189
                     39,                 1.5833,                  1.804,                 2.1214,                0.66695,                0.56656,                 0.6579,                0.38118,                 1.5782,                 1.7445,                 2.2967,              0.0013129,              0.0013129,              0.0013129
                     40,                 1.6084,                 1.7933,                 2.1668,                 0.6239,                0.71403,                0.73663,                0.43293,                 1.5264,                 1.5259,                 2.1831,              0.0013067,              0.0013067,              0.0013067
                     41,                 1.5418,                 1.6955,                 2.0818,                0.74646,                0.65479,                0.77131,                0.47136,                 1.4163,                 1.4354,                  2.138,              0.0013004,              0.0013004,              0.0013004
                     42,                 1.5248,                 1.6364,                 2.0951,                0.76777,                0.71732,                0.77722,                0.43858,                 1.5279,                 1.4049,                 2.2056,              0.0012939,              0.0012939,              0.0012939
                     43,                 1.5322,                 1.6246,                 2.0759,                0.62663,                0.73279,                0.74464,                0.43226,                 1.5299,                 1.5116,                 2.1543,              0.0012873,              0.0012873,              0.0012873
                     44,                  1.516,                 1.7152,                 2.0624,                 0.6979,                0.68897,                0.74111,                0.39177,                 1.5273,                 1.5656,                  2.213,              0.0012806,              0.0012806,              0.0012806
                     45,                 1.5511,                  1.618,                 2.0637,                 0.7724,                0.72562,                0.78591,                0.48281,                 1.4534,                 1.3726,                 2.0964,              0.0012737,              0.0012737,              0.0012737
                     46,                 1.4549,                 1.5582,                 1.9842,                0.72115,                 0.7321,                0.76676,                0.46848,                 1.4736,                 1.3321,                 2.1574,              0.0012667,              0.0012667,              0.0012667
                     47,                 1.5712,                 1.5817,                 2.0512,                0.76311,                0.74536,                 0.8166,                0.46873,                  1.431,                 1.3954,                 2.1371,              0.0012595,              0.0012595,              0.0012595
                     48,                 1.5071,                 1.5753,                 2.0408,                0.76636,                 0.6956,                0.80608,                0.46505,                 1.5737,                 1.3198,                 2.2052,              0.0012522,              0.0012522,              0.0012522
                     49,                 1.5161,                 1.5794,                 2.0219,                0.82996,                0.68152,                0.82773,                0.48844,                 1.4439,                 1.5302,                 2.1225,              0.0012448,              0.0012448,              0.0012448
                     50,                 1.4275,                 1.4848,                 1.9611,                0.80398,                0.75115,                0.83514,                0.46151,                 1.5336,                 1.2851,                  2.249,              0.0012373,              0.0012373,              0.0012373
                     51,                 1.4943,                 1.5334,                 2.0077,                0.82829,                0.75528,                0.79775,                 0.4518,                  1.519,                 1.2912,                 2.1886,              0.0012296,              0.0012296,              0.0012296
                     52,                 1.5334,                  1.563,                 2.0278,                0.87438,                0.70053,                 0.8275,                0.47385,                 1.5676,                 1.4911,                 2.2047,              0.0012218,              0.0012218,              0.0012218
                     53,                 1.4751,                 1.5188,                 1.9878,                0.83595,                0.75946,                0.83856,                0.49337,                  1.485,                   1.32,                 2.1203,              0.0012139,              0.0012139,              0.0012139
                     54,                 1.4556,                 1.5425,                 1.9809,                0.83164,                0.76446,                0.86033,                0.49272,                 1.5238,                 1.2767,                 2.1487,              0.0012059,              0.0012059,              0.0012059
                     55,                 1.4738,                 1.5744,                  1.996,                0.76985,                0.71362,                 0.7714,                 0.4612,                 1.4339,                 1.4176,                 2.0777,              0.0011977,              0.0011977,              0.0011977
                     56,                 1.4385,                 1.4843,                 1.9879,                0.84071,                0.83198,                0.86605,                0.51677,                 1.4548,                 1.1693,                 2.1326,              0.0011894,              0.0011894,              0.0011894
                     57,                 1.3898,                 1.4334,                 1.8883,                0.80705,                0.68928,                0.73741,                0.42411,                  1.435,                 1.4573,                 2.1053,               0.001181,               0.001181,               0.001181
                     58,                  1.447,                 1.4627,                 1.9763,                0.91941,                0.76339,                0.85328,                0.49895,                 1.4385,                  1.186,                 2.0663,              0.0011725,              0.0011725,              0.0011725
                     59,                 1.4261,                 1.4125,                 1.9285,                0.86799,                0.75118,                0.86472,                0.50436,                 1.4685,                 1.1632,                 2.1014,              0.0011639,              0.0011639,              0.0011639
                     60,                 1.4324,                 1.3917,                 1.9396,                0.80029,                0.79327,                0.86062,                0.52334,                  1.389,                 1.1163,                 2.0304,              0.0011552,              0.0011552,              0.0011552
                     61,                 1.4031,                 1.4659,                 1.9022,                0.85265,                 0.7699,                0.84298,                0.49794,                 1.4776,                 1.2517,                 2.0911,              0.0011464,              0.0011464,              0.0011464
                     62,                 1.4506,                 1.4083,                 1.9626,                0.80102,                0.75321,                0.80766,                0.45814,                 1.6249,                 1.4047,                 2.2422,              0.0011374,              0.0011374,              0.0011374
                     63,                 1.4562,                 1.4665,                 1.9599,                0.79714,                0.70732,                0.81844,                0.47738,                 1.4719,                  1.226,                 2.1515,              0.0011284,              0.0011284,              0.0011284
                     64,                 1.3854,                 1.3113,                 1.9057,                0.84491,                0.75775,                0.84749,                0.51689,                  1.426,                 1.2819,                 2.0678,              0.0011192,              0.0011192,              0.0011192
                     65,                 1.4185,                  1.375,                 1.9405,                0.85784,                0.82744,                0.89346,                0.53951,                 1.3756,                 1.0916,                 2.0214,                0.00111,                0.00111,                0.00111
                     66,                 1.4034,                 1.3519,                 1.9503,                0.89127,                0.78846,                0.87463,                0.49515,                 1.4991,                 1.1445,                 2.1143,              0.0011007,              0.0011007,              0.0011007
                     67,                 1.3918,                 1.4272,                 1.9235,                0.87371,                0.78828,                0.89439,                0.53047,                 1.4319,                 1.1469,                 2.0579,              0.0010912,              0.0010912,              0.0010912
                     68,                 1.4054,                  1.369,                 1.9185,                0.80457,                0.73517,                0.83254,                0.45115,                 1.6091,                 1.3558,                 2.2133,              0.0010817,              0.0010817,              0.0010817
                     69,                 1.4747,                 1.5012,                 1.9632,                0.89673,                0.80209,                0.91481,                0.54248,                 1.4229,                 1.0192,                 2.0904,              0.0010721,              0.0010721,              0.0010721
                     70,                 1.3692,                 1.3212,                 1.8782,                0.87173,                0.75947,                0.85559,                0.48848,                 1.4744,                 1.0848,                 2.1191,              0.0010624,              0.0010624,              0.0010624
                     71,                 1.3436,                 1.2606,                 1.8247,                0.84487,                0.80579,                0.87246,                0.50876,                 1.4917,                 1.0951,                  2.142,              0.0010526,              0.0010526,              0.0010526
                     72,                 1.2881,                 1.2546,                 1.8059,                0.82551,                0.82894,                 0.8947,                 0.5464,                 1.4352,                 1.0281,                 2.0535,              0.0010428,              0.0010428,              0.0010428
                     73,                 1.3666,                 1.3066,                 1.8692,                0.94537,                0.74192,                0.87614,                 0.5238,                 1.3751,                 1.0232,                 2.0413,              0.0010328,              0.0010328,              0.0010328
                     74,                 1.4113,                 1.3939,                 1.9408,                0.87715,                0.75368,                0.88368,                0.56348,                 1.3836,                 1.0783,                 2.0092,              0.0010228,              0.0010228,              0.0010228
                     75,                 1.3397,                 1.2691,                 1.8732,                 0.9296,                0.74658,                0.86788,                0.53404,                 1.4133,                 1.1091,                 2.0564,              0.0010127,              0.0010127,              0.0010127
                     76,                 1.3494,                 1.2857,                 1.8573,                0.92621,                0.80076,                0.89702,                 0.5277,                 1.4912,                 1.1412,                 2.1132,              0.0010026,              0.0010026,              0.0010026
                     77,                 1.3651,                 1.3001,                 1.8838,                0.86498,                0.80147,                0.86312,                0.51973,                 1.4304,                  1.217,                  2.059,             0.00099234,             0.00099234,             0.00099234
                     78,                 1.2891,                 1.2068,                  1.813,                0.87698,                 0.8115,                0.90915,                0.52425,                  1.442,                0.96966,                 2.1116,             0.00098204,             0.00098204,             0.00098204
                     79,                 1.3881,                 1.2775,                 1.8985,                0.92611,                0.82563,                0.91868,                0.55585,                 1.3825,                0.98555,                 2.0484,             0.00097168,             0.00097168,             0.00097168
                     80,                 1.2673,                 1.2627,                 1.7788,                0.96089,                0.86408,                0.94911,                0.59615,                  1.384,                0.88018,                 2.0192,             0.00096125,             0.00096125,             0.00096125
                     81,                  1.288,                  1.156,                 1.8029,                 0.8187,                  0.818,                0.89282,                0.54686,                 1.3853,                  1.003,                 1.9999,             0.00095077,             0.00095077,             0.00095077
                     82,                 1.3034,                 1.2347,                 1.8313,                0.85448,                0.70864,                0.84926,                0.50384,                 1.4549,                 1.0681,                 2.0811,             0.00094023,             0.00094023,             0.00094023
