                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.94789,                0.79944,                 1.4763,                0.86603,                0.92654,                0.94282,                0.61368,                  1.298,                0.70532,                 2.0171,             0.00030587,             0.00030587,             0.00030587
                    143,                0.97748,                0.80102,                 1.5042,                0.91901,                0.90439,                0.95941,                0.61846,                  1.312,                0.70056,                 2.0303,             0.00029693,             0.00029693,             0.00029693
                    144,                0.94599,                0.79556,                 1.4463,                0.94341,                0.86336,                0.95051,                0.58681,                 1.3935,                0.74072,                 2.1295,              0.0002881,              0.0002881,              0.0002881
                    145,                0.99561,                0.82106,                 1.5171,                0.89948,                0.84066,                0.93921,                0.60492,                  1.316,                0.75073,                 2.0428,             0.00027938,             0.00027938,             0.00027938
                    146,                0.94948,                0.80823,                 1.4699,                0.93004,                0.92597,                0.95888,                0.63128,                 1.2837,                0.68131,                 1.9997,             0.00027076,             0.00027076,             0.00027076
                    147,                0.93016,                0.75227,                 1.4543,                 0.9291,                0.88873,                0.94445,                0.61581,                 1.3153,                0.75369,                 2.0604,             0.00026225,             0.00026225,             0.00026225
                    148,                0.96097,                0.79482,                 1.5266,                 0.8898,                0.82198,                0.93122,                0.61276,                 1.3019,                0.75804,                 2.0333,             0.00025386,             0.00025386,             0.00025386
                    149,                0.94133,                0.80145,                 1.4639,                0.92873,                0.85056,                0.94582,                 0.6236,                 1.2962,                0.70854,                 2.0269,             0.00024559,             0.00024559,             0.00024559
                    150,                0.96756,                0.80926,                  1.499,                0.89575,                0.91204,                0.94792,                0.62315,                 1.2965,                0.69389,                 2.0086,             0.00023743,             0.00023743,             0.00023743
                    151,                0.88992,                0.74132,                  1.429,                 0.9083,                0.94671,                 0.9653,                0.63916,                 1.3015,                0.64445,                 2.0051,             0.00022939,             0.00022939,             0.00022939
                    152,                0.94579,                0.79244,                 1.4813,                0.88729,                0.92434,                0.95031,                0.62689,                  1.286,                0.68441,                 2.0166,             0.00022147,             0.00022147,             0.00022147
                    153,                0.89976,                 0.7439,                 1.4341,                0.92606,                 0.9095,                0.95556,                0.62657,                 1.2888,                0.64038,                  2.029,             0.00021367,             0.00021367,             0.00021367
                    154,                0.88685,                0.73817,                 1.4163,                0.92259,                0.93027,                0.95694,                0.63304,                 1.2868,                0.65158,                 1.9958,             0.00020601,             0.00020601,             0.00020601
                    155,                0.92956,                 0.7648,                 1.4624,                0.91129,                0.87485,                0.94714,                0.61088,                 1.2981,                0.71023,                 2.0067,             0.00019846,             0.00019846,             0.00019846
                    156,                0.88019,                0.74585,                 1.4487,                0.97997,                0.83607,                0.95542,                0.63122,                 1.2862,                0.69995,                 2.0126,             0.00019105,             0.00019105,             0.00019105
                    157,                0.91879,                0.76094,                 1.4568,                0.94488,                0.91237,                0.96248,                0.62186,                 1.3029,                0.63949,                 2.0478,             0.00018377,             0.00018377,             0.00018377
                    158,                0.92567,                0.76557,                 1.4682,                0.91901,                0.88337,                0.95385,                0.61694,                 1.2898,                0.67642,                 2.0507,             0.00017662,             0.00017662,             0.00017662
                    159,                0.91729,                0.76987,                 1.4466,                0.95615,                0.87281,                0.96176,                 0.6206,                 1.3059,                0.66315,                 2.0384,              0.0001696,              0.0001696,              0.0001696
                    160,                0.90713,                0.75575,                 1.4531,                0.91822,                0.92721,                0.96279,                 0.6194,                 1.2929,                0.65645,                 2.0194,             0.00016272,             0.00016272,             0.00016272
                    161,                0.90447,                 0.7244,                 1.4365,                0.95867,                0.89522,                0.96385,                0.62606,                 1.2914,                0.64713,                 1.9933,             0.00015598,             0.00015598,             0.00015598
                    162,                0.89484,                0.71749,                 1.4223,                0.91706,                0.89717,                0.95147,                0.61475,                 1.2942,                0.68839,                 2.0082,             0.00014938,             0.00014938,             0.00014938
                    163,                0.85804,                  0.694,                 1.3863,                0.93852,                0.89584,                0.96135,                0.62571,                 1.2942,                0.67686,                 2.0058,             0.00014292,             0.00014292,             0.00014292
                    164,                0.90226,                0.74896,                 1.4271,                0.93032,                0.88909,                 0.9493,                0.63339,                  1.278,                0.67677,                 1.9754,             0.00013661,             0.00013661,             0.00013661
                    165,                 0.8311,                0.72865,                 1.3462,                0.94722,                0.88948,                0.96099,                0.64041,                 1.2781,                0.64069,                 1.9893,             0.00013043,             0.00013043,             0.00013043
                    166,                 0.8794,                0.73262,                 1.4446,                0.94076,                0.90393,                 0.9645,                0.62899,                 1.3112,                0.63855,                 2.0545,             0.00012441,             0.00012441,             0.00012441
                    167,                0.85277,                0.71045,                 1.4059,                0.95704,                0.86798,                0.96033,                0.62017,                 1.3014,                 0.6507,                 2.0259,             0.00011853,             0.00011853,             0.00011853
                    168,                0.84707,                0.76069,                 1.3752,                0.91226,                0.92689,                0.96198,                0.62534,                 1.2836,                 0.6641,                  2.048,             0.00011279,             0.00011279,             0.00011279
                    169,                0.85374,                0.72022,                 1.4079,                0.96226,                0.88818,                0.96253,                0.63448,                 1.2856,                0.64747,                 2.0377,             0.00010721,             0.00010721,             0.00010721
                    170,                0.86421,                0.73697,                 1.4057,                0.94717,                0.87038,                0.96073,                0.63731,                 1.2827,                0.66255,                 2.0471,             0.00010179,             0.00010179,             0.00010179
                    171,                 0.8577,                0.71297,                 1.3841,                0.93662,                0.87137,                0.95573,                 0.6323,                 1.2805,                0.66564,                 2.0239,             9.6509e-05,             9.6509e-05,             9.6509e-05
                    172,                0.86915,                 0.7773,                 1.4537,                0.93853,                0.88774,                0.95484,                0.63142,                 1.2778,                0.64312,                 2.0387,             9.1387e-05,             9.1387e-05,             9.1387e-05
                    173,                0.85162,                0.71304,                 1.3899,                0.91828,                 0.8957,                0.96026,                 0.6324,                 1.2996,                0.65222,                 2.0577,             8.6421e-05,             8.6421e-05,             8.6421e-05
                    174,                0.84464,                0.70823,                 1.3789,                0.94412,                0.92044,                0.96419,                 0.6259,                 1.2986,                0.63893,                 2.0658,             8.1611e-05,             8.1611e-05,             8.1611e-05
                    175,                0.84549,                0.70779,                 1.4025,                0.92966,                0.91579,                0.95071,                 0.6215,                 1.3028,                0.66865,                 2.0706,             7.6959e-05,             7.6959e-05,             7.6959e-05
                    176,                0.84481,                0.69712,                 1.3727,                0.92546,                0.90712,                0.96163,                0.62931,                 1.3029,                0.65844,                 2.0577,             7.2467e-05,             7.2467e-05,             7.2467e-05
                    177,                0.85698,                0.70984,                 1.3739,                0.93597,                0.90814,                0.96299,                0.63225,                 1.2975,                0.64939,                 2.0611,             6.8134e-05,             6.8134e-05,             6.8134e-05
                    178,                0.83559,                 0.6908,                 1.3972,                0.93589,                0.91747,                0.95614,                0.62675,                 1.2987,                0.64142,                 2.0593,             6.3963e-05,             6.3963e-05,             6.3963e-05
                    179,                0.81686,                0.70642,                 1.3512,                0.94217,                0.90232,                0.95385,                0.62165,                 1.3081,                0.65725,                 2.0904,             5.9954e-05,             5.9954e-05,             5.9954e-05
                    180,                0.86548,                0.72863,                  1.428,                0.94337,                0.92044,                0.96139,                0.62572,                 1.3169,                0.66497,                 2.0868,             5.6108e-05,             5.6108e-05,             5.6108e-05
                    181,                0.81869,                0.69588,                 1.3677,                 0.9274,                0.90544,                0.95207,                0.62172,                 1.3042,                 0.6569,                   2.08,             5.2427e-05,             5.2427e-05,             5.2427e-05
                    182,                0.81899,                0.67982,                 1.3915,                0.90107,                0.93434,                0.95948,                0.62704,                  1.303,                0.66472,                 2.0757,              4.891e-05,              4.891e-05,              4.891e-05
                    183,                0.79925,                0.67281,                 1.3536,                0.93994,                0.89682,                0.95748,                0.63156,                 1.3098,                0.66658,                 2.0784,              4.556e-05,              4.556e-05,              4.556e-05
                    184,                0.80603,                0.67556,                 1.3508,                0.94374,                 0.9117,                0.95919,                0.62472,                 1.2991,                0.66219,                 2.0681,             4.2376e-05,             4.2376e-05,             4.2376e-05
                    185,                0.79981,                0.67388,                 1.3592,                0.95228,                0.91329,                0.96035,                0.62811,                 1.3008,                0.66229,                 2.0881,              3.936e-05,              3.936e-05,              3.936e-05
                    186,                0.79997,                0.66594,                 1.3488,                0.93279,                0.89234,                0.94776,                0.62267,                 1.3092,                 0.6617,                 2.1047,             3.6513e-05,             3.6513e-05,             3.6513e-05
                    187,                0.79095,                0.67081,                 1.3658,                0.89575,                0.92264,                 0.9478,                0.62187,                 1.3028,                0.66294,                 2.0822,             3.3834e-05,             3.3834e-05,             3.3834e-05
                    188,                0.80883,                0.66612,                 1.3612,                0.91969,                0.90288,                0.94819,                0.62479,                 1.2953,                0.66749,                 2.0827,             3.1325e-05,             3.1325e-05,             3.1325e-05
                    189,                 0.8326,                0.68522,                 1.3857,                0.94208,                 0.9024,                0.96009,                0.62797,                 1.2942,                0.65662,                 2.0943,             2.8987e-05,             2.8987e-05,             2.8987e-05
                    190,                0.83099,                0.68685,                 1.3646,                0.92034,                 0.9029,                0.94874,                0.62038,                 1.2988,                0.65531,                 2.0996,             2.6819e-05,             2.6819e-05,             2.6819e-05
                    191,                0.69272,                0.50666,                 1.3337,                0.94149,                0.89672,                0.94554,                0.60769,                 1.3121,                0.66451,                 2.1609,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    192,                0.66409,                0.47634,                 1.2751,                 0.9401,                0.89214,                0.94408,                0.61149,                 1.3166,                0.66985,                 2.1806,             2.2999e-05,             2.2999e-05,             2.2999e-05
                    193,                0.68492,                0.48988,                 1.2864,                 0.9364,                0.90031,                0.94633,                0.60941,                 1.3195,                0.66592,                 2.1903,             2.1347e-05,             2.1347e-05,             2.1347e-05
                    194,                0.61589,                0.43652,                 1.2216,                0.92607,                0.91605,                0.94909,                0.61611,                 1.3152,                 0.6581,                 2.1774,             1.9868e-05,             1.9868e-05,             1.9868e-05
                    195,                0.66581,                0.45281,                 1.2683,                0.93735,                0.90488,                0.95042,                0.61809,                 1.3145,                0.65756,                 2.1828,             1.8562e-05,             1.8562e-05,             1.8562e-05
                    196,                0.64784,                0.44092,                 1.2518,                0.93957,                0.91404,                0.95197,                0.61875,                 1.3102,                0.65572,                 2.1698,             1.7429e-05,             1.7429e-05,             1.7429e-05
                    197,                0.65441,                0.42748,                 1.2614,                0.93233,                0.91478,                0.95117,                0.62028,                 1.3124,                0.65662,                 2.1633,             1.6471e-05,             1.6471e-05,             1.6471e-05
                    198,                0.62296,                0.44398,                 1.2184,                0.92592,                0.92511,                0.95504,                0.62488,                 1.3065,                0.64415,                 2.1611,             1.5686e-05,             1.5686e-05,             1.5686e-05
                    199,                0.69254,                0.44843,                 1.3069,                0.93341,                0.91473,                0.95439,                0.62461,                 1.3059,                0.63852,                 2.1616,             1.5075e-05,             1.5075e-05,             1.5075e-05
                    200,                0.65293,                0.44106,                 1.2603,                0.93457,                0.91126,                0.95239,                0.61721,                 1.3073,                0.64258,                 2.1577,             1.4639e-05,             1.4639e-05,             1.4639e-05
